eigenvector_rank,bit_index,bit_loading,fragment_smiles,motif,n_bit1,n_bit0,x_motif_bit1,x_motif_bit0,p_motif_bit1,p_motif_bit0,log2_enrichment,z,p_two_sided
5,115,0.07036708447263022,,hydroxyl,28,2972,17,1027,0.6071428571568878,0.3455585464335984,0.8131058534455567,2.892284854241138,0.0038245102055769475
5,1444,0.08668633143834839,,amide,182,2818,19,535,0.10439560440052531,0.18985095812661823,-0.8628063116681636,-2.879539121500903,0.003982568838545308
5,362,0.09855330689425755,,carbonyl,22,2978,18,1522,0.8181818181900826,0.5110812625925081,0.6788687778976786,2.8712970735576064,0.00408791152644894
5,1380,-0.12610440755762864,,hydroxyl,2130,870,775,269,0.36384976525851465,0.3091954022996446,0.2348240132253453,2.851676242101344,0.004348937027673028
5,173,0.08735937768098594,,hydroxyl,20,2980,13,1031,0.6500000000175,0.3459731543626356,0.9097796212730719,2.8448607685335,0.004443083944297932
5,1444,0.08668633143834839,,heteroaromatic_ring,182,2818,25,641,0.13736263736737714,0.22746628814789657,-0.7276631006850338,-2.834795033471356,0.004585509519568376
5,794,0.09404891406657276,,heteroaromatic_ring,360,2640,59,607,0.16388888889121142,0.2299242424245341,-0.48844053895908496,-2.8281523969636293,0.00468175134863702
5,1825,-0.0650577224079176,,carbonyl,41,2959,30,1510,0.7317073170797145,0.5103075363300067,0.5198997379843493,2.816861126452369,0.0048495489718591855
5,301,0.09853475227538837,,carbonyl,30,2970,23,1517,0.7666666666744445,0.5107744107745755,0.5859132059037598,2.7901004171152812,0.0052691696324633774
5,1825,-0.0650577224079176,,aromatic_ring,41,2959,35,1909,0.8536585365889351,0.6451503886449323,0.40402360612263055,2.776310142145182,0.005497973508090226
5,1283,0.0708530890448325,,carbonyl,35,2965,26,1514,0.7428571428644899,0.5106239460372646,0.5408236006575622,2.7327160692837493,0.006281445576191036
5,699,-0.0646982208147296,,ester,115,2885,11,570,0.09565217392090737,0.19757365684603204,-1.0465209377097593,-2.712327890781736,0.006681246711050193
5,1143,0.09271121067169563,,nitro,197,2803,1,126,0.005076142137030071,0.04495183731750091,-3.146575712499362,-2.686852857208219,0.007212871918749197
5,1032,-0.05980380209293732,,aromatic_ring,27,2973,24,1920,0.8888888888930041,0.6458123107972937,0.46088815086322643,2.632709791100335,0.008470669133775477
5,1825,-0.0650577224079176,,halogen,41,2959,17,708,0.41463414635574064,0.23927002365689784,0.7931992677913063,2.604990125477702,0.009187690781169877
5,216,-0.05861422378711216,,ester,169,2831,20,561,0.11834319527148911,0.19816319321822742,-0.7437122680363316,-2.550818900552371,0.01074701535354583
5,1444,0.08668633143834839,,nitro,182,2818,1,126,0.0054945054999698114,0.04471256210111969,-3.024618665965146,-2.546731800619891,0.010873696784005737
5,173,0.08735937768098594,,halogen,20,2980,0,725,4.9999999997500004e-11,0.24328859060428076,-32.180021518500034,-2.5330618605862654,0.011307099639349172
5,591,0.09778804305920862,,hydroxyl,279,2721,78,966,0.27956989247570047,0.35501653803772326,-0.3446772305406719,-2.519603834915765,0.011748698249441691
5,1564,0.07303400802660721,,nitro,216,2784,2,125,0.009259259263846022,0.04489942528769939,-2.2777282902731826,-2.5060640323445598,0.012208350863275097
5,1088,-0.08232661665123817,,ester,1030,1970,225,356,0.21844660194250634,0.18071065989889304,0.2735990525254883,2.483485042317427,0.013010379826116303
5,573,0.08640927670122461,,hydroxyl,51,2949,26,1018,0.5098039215782392,0.3452017633098185,0.5625026371819104,2.4467181999733354,0.014416350550116697
5,1911,0.11928035557601092,,carbonyl,453,2547,256,1284,0.565121412804492,0.5041224970555539,0.1647865171075502,2.3933682643418575,0.01669447522993095
5,794,0.09404891406657276,,amide,360,2640,50,504,0.13888888889128087,0.19090909090939737,-0.45895461578652,-2.3861776132650054,0.017024526645439186
5,1199,-0.06050355413181919,,ester,789,2211,175,406,0.22179974651556172,0.1836273179560454,0.2724770144534345,2.3293636332667815,0.019839809935928487
5,1088,-0.08232661665123817,,halogen,1030,1970,223,502,0.21650485436969272,0.25482233502575896,-0.2350923617543821,-2.3278210753986963,0.019921606495224786
5,935,-0.06896169156334016,,nitro,567,2433,14,113,0.02469135802641148,0.04644471845497475,-0.9115083602730523,-2.316753850486117,0.020517144284819544
5,1898,0.07143069844553744,,carbonyl,29,2971,21,1519,0.7241379310439953,0.5112756647595048,0.5021631630030067,2.2823006057871247,0.022471598811400373
5,1928,-0.060980450938365856,,carbonyl,213,2787,125,1415,0.5868544600958364,0.5077143882312495,0.20898561382507963,2.227299222253727,0.025927282482704372
